a_sum,ak_sum,predicted,observed_topsis
-0.015693787773578716,0.02874873032490571,True,True
-0.23270297091041264,-0.12170966172999814,False,False
-0.2287964440600059,-0.11949712500920458,False,False
-0.223099686377554,-0.11610088747674219,False,False
-0.16767139382627083,-0.06036686354762695,False,False
-0.22607081914186972,-0.12568201236473,False,False
-0.20013659170277057,-0.10455967723806912,False,False
-0.19849624464976628,-0.102566792217096,False,False
-0.40864797274341547,-0.2657114026451234,False,False
-0.20721856058071025,-0.10838651696729831,False,False
-0.004752940420199837,0.04194808701029254,True,True
-0.7506779541393175,-0.5147092637923463,False,False
-0.22887801081072168,-0.11908728948642078,False,False
-0.22973889674462672,-0.11975327600936493,False,False
-0.2062158505943825,-0.10537677531060452,False,False
-0.2280286588627954,-0.1187013346912633,False,False
-0.2077385525688457,-0.1092268381568551,False,False
-0.1295786918326125,-0.0339010236157655,False,False
-0.23549326054148423,-0.12238746868124979,False,False
-0.21803826682644667,-0.11307153218641192,False,False
-0.2124908927269204,-0.1114739216598082,False,False
-0.21949717780607916,-0.1148428575090768,False,False
-0.1987275751819863,-0.10438974650395465,False,False
-0.1824649128208397,-0.06960900985081848,False,False
-0.20128998159726957,-0.10790016764037838,False,False
-0.8390873352147071,-0.5614028614651286,False,False
-0.18852848683370732,-0.09938510180431989,False,False
-0.08180435832910923,0.0031164081857128073,True,True
-0.18610966357740533,-0.09730072149066812,False,False
-0.2018835878532569,-0.10555052757507555,False,False
-0.20255014684454337,-0.10524647199600741,False,False
-0.019361265700156116,0.04307278462217255,True,True
-0.19763013770973176,-0.10385464397025375,False,False
-0.18660833711501207,-0.08972991413352244,False,False
-0.20812496856725488,-0.10883678187384535,False,False
-0.18586249839464286,-0.08813308559609145,False,False
-0.17337750450725886,-0.074867968698406,False,False
-0.21057701525122496,-0.10979555093678381,False,False
-0.18789436083421193,-0.08986414746704481,False,False
-0.20106317555449038,-0.10539941561331695,False,False
-0.20336090701320828,-0.09611219963182054,False,False
-0.2210922177665161,-0.11600812603307772,False,False
-0.0393443456138323,0.03833038605443806,True,True
-0.2156396628739869,-0.1129306305195752,False,False
-0.22240373411156303,-0.11624718218577379,False,False
-0.16974318070927266,-0.06312806587542585,False,False
-0.21886912598541103,-0.1143430866130602,False,False
-0.22206053210894988,-0.115872103587482,False,False
-0.19219513596245968,-0.09177812110880187,False,False
-0.8558836317807271,-0.5558462275188543,False,False
-0.20709079241266642,-0.09997941360328512,False,False
-0.19451216376463323,-0.10219365961823945,False,False
-0.20546520610490565,-0.10763766290350799,False,False
-0.20968707293586072,-0.10969576986805026,False,False
-0.204565259206437,-0.10609233481330152,False,False
-0.23187716719471552,-0.12649296980721136,False,False
-0.19972155372638659,-0.10516472530341434,False,False
-0.1651811857627623,-0.07157140334067222,False,False
-0.40549788077928106,-0.30161269381109274,False,False
-0.19926499329408268,-0.10451568682823104,False,False
-0.20477143835179176,-0.10706431793902056,False,False
-0.225373605761851,-0.11761742473532191,False,False
-0.19791241012725444,-0.10341605694441289,False,False
-0.22350297173784153,-0.11639115290280592,False,False
-0.1994375143197323,-0.10052677602365717,False,False
-0.19151977337916964,-0.10131470800702205,False,False
-0.22211246162377724,-0.11644507090060943,False,False
-0.21068418407290584,-0.10989606923557442,False,False
-0.22876837576885561,-0.11975091195965798,False,False
-0.20801473401788098,-0.10847724553335997,False,False
-0.2223237881357563,-0.11617339322658157,False,False
-0.19874093634451012,-0.10382105925130442,False,False
-0.13972159758294445,-0.04610799327749453,False,False
-0.15763873545470428,-0.06891613070094389,False,False
0.4833678357139494,0.4658731980034211,False,False
-0.21390028620248724,-0.11146182174802732,False,False
-0.20239773630221908,-0.10624531560055317,False,False
-0.2120037826986659,-0.11094435912392069,False,False
-0.19194825661605636,-0.10065933025825236,False,False
-0.2174789887808502,-0.11385639567778136,False,False
-0.20416490307207358,-0.10699912020751393,False,False
-0.23685498245012315,-0.12343506063763675,False,False
-0.19810916079306942,-0.10375634965396598,False,False
-0.21994587170573998,-0.11486572383788873,False,False
-0.20741910142829575,-0.1085088600172022,False,False
0.43078266198259973,0.4080401155346206,False,False
-0.20498594287107127,-0.10690088396673458,False,False
-0.20601366282333325,-0.10754326671735351,False,False
-0.200875811652935,-0.10525320885329088,False,False
-0.20352971169429898,-0.10659759773887495,False,False
-0.2141299072210081,-0.11196159922902174,False,False
-0.20611876745996416,-0.10763470218065826,False,False
-0.1972199321045065,-0.10312345552320602,False,False
-0.8316698604431426,-0.6852930565699964,False,False
-0.22665593363721218,-0.11890094907549903,False,False
-0.22578774154434067,-0.11759066205426633,False,False
-0.19366473968602974,-0.10193834111335473,False,False
-0.14089787766848333,-0.045231016734014834,False,False
-0.20241193716188421,-0.1048188719969907,False,False
-0.20115551305966745,-0.10534741198226637,False,False
-0.21158282123479386,-0.11057388192170067,False,False
-0.2066787003067958,-0.10782447466928474,False,False
-0.20186677059802008,-0.10552769710219806,False,False
-0.08053666916140634,0.009809596450299551,True,True
-0.21541282868588585,-0.11312279622799548,False,False
-0.21168359841500353,-0.11096656339453909,False,False
-0.17512841944316357,-0.06974665412651797,False,False
-0.2261874871609474,-0.11784799577594107,False,False
0.23883036769879518,0.24597867206595364,False,False
-0.2033420192020714,-0.10522105944262264,False,False
-0.21751724835199943,-0.11381906748032734,False,False
-0.1511029765959832,-0.06182318592892415,False,False
