scenario,method,component,mean,ci_lo,ci_hi,P_R1,E_rank
Vibration,TOPSIS-mm,Sensor,0.028178445646761804,0.0,0.34238973679929974,0.0054,3.9418
Vibration,TOPSIS-mm,Valve,0.2362787203980029,0.18659746655413129,0.6252955258350513,0.0142,2.9918
High Temp + Maintenance,VIKOR,Pump,0.7806553921521536,0.35883630126289623,0.9999999999987336,0.5114,1.5056
High Temp + Maintenance,VIKOR,Turbine,0.7548179372581475,0.35173542174459127,0.999999999998741,0.4688,1.5538
High Temp + Maintenance,VIKOR,Sensor,0.012286885473202941,0.0,0.007993810703928314,0.0068,3.9556
High Temp + Maintenance,VIKOR,Valve,0.2536941826607679,0.021650978743085917,0.543372257626638,0.013,2.985
High Temp + Maintenance,TOPSIS,Pump,0.7143767396602594,0.18523857082070674,0.9755297633434692,0.506,1.5146
High Temp + Maintenance,TOPSIS,Turbine,0.6896805149876477,0.1812463011960009,0.9882621423719706,0.4746,1.5546
High Temp + Maintenance,TOPSIS,Sensor,0.02213003610573063,0.0,0.2709514900941541,0.0068,3.9352
High Temp + Maintenance,TOPSIS,Valve,0.15736517848413642,0.1094445632982748,0.5352818109468405,0.0126,2.9956
High Temp + Maintenance,PROMETHEE,Pump,0.44231923144124446,-0.05243969310863872,0.7809039947177665,0.5124,1.5038
High Temp + Maintenance,PROMETHEE,Turbine,0.4255058703784951,-0.043561202476215664,0.7942071274288077,0.4726,1.5464
High Temp + Maintenance,PROMETHEE,Sensor,-0.5780162717038659,-0.7171989252326754,-0.4088361355333695,0.003,3.9648
High Temp + Maintenance,PROMETHEE,Valve,-0.28980883011587366,-0.4369737785311443,0.037740024995792584,0.012,2.985
High Temp + Maintenance,ADD,Pump,0.7813269005443468,0.35415000006973624,0.9742593306283802,0.5124,1.5038
High Temp + Maintenance,ADD,Turbine,0.7687168797472846,0.3620137628401986,0.9847104389646955,0.4726,1.5464
High Temp + Maintenance,ADD,Sensor,0.01607527318551398,0.0,0.1804441994375341,0.003,3.9648
High Temp + Maintenance,ADD,Valve,0.23223085437650817,0.18886011012733664,0.5478736494660015,0.012,2.985
High Temp + Maintenance,WSM-V,Pump,0.6247134527918443,0.2448416794591651,0.8641645766245032,0.5104,1.5074
High Temp + Maintenance,WSM-V,Turbine,0.6108731280683414,0.24987965086971828,0.8735496231558251,0.472,1.5516
High Temp + Maintenance,WSM-V,Sensor,0.06071417746106531,0.042238258860415434,0.20486110048082662,0.0054,3.9504
High Temp + Maintenance,WSM-V,Valve,0.17506863248174911,0.14148407514680858,0.44148916488353324,0.0122,2.9906
High Temp + Maintenance,TOPSIS-mm,Pump,0.740917912778104,0.29841137529834316,0.9647118561462283,0.5066,1.5112
High Temp + Maintenance,TOPSIS-mm,Turbine,0.7199509945102445,0.2919249688821613,0.9788519746511809,0.4754,1.5506
High Temp + Maintenance,TOPSIS-mm,Sensor,0.020362506790815398,0.0,0.25196154649337177,0.0056,3.9508
High Temp + Maintenance,TOPSIS-mm,Valve,0.23493780628697522,0.18643307554226107,0.5440053141637585,0.0124,2.9874
