n_alt,n_crit,kappa_max,kappa_min,nu,log_nu,delta_w,tau_wsm,rho_wsm,identical_wsm,tau_topsis,rho_topsis,identical_topsis,tau_topsis_minmax,rho_topsis_minmax,identical_topsis_minmax
8,5,0.14452962423301569,0.025863548963818435,5.588159012114535,0.7472687555490446,0.24734976432814268,0.7142857142857143,0.8809523809523809,False,0.7142857142857143,0.8809523809523809,False,0.9285714285714286,0.9761904761904762,False
8,4,0.33687586704040245,0.08181862103141375,4.117349605622707,0.6146177446624255,0.2952241481114307,0.5714285714285714,0.7380952380952381,False,0.5714285714285714,0.7380952380952381,False,0.9285714285714286,0.9761904761904762,False
4,3,0.6752553055092958,0.5495874949161867,1.2286584242806418,0.08943116273302755,0.04765024189105596,1.0,1.0,True,0.6666666666666666,0.8,False,0.6666666666666666,0.8,False
4,3,0.0652985231522544,0.01616468073412692,4.039580132897793,0.606336227625046,0.27285258594969675,0.6666666666666666,0.8,False,0.6666666666666666,0.8,False,1.0,1.0,True
4,5,0.7466306623940454,0.02689621167232739,27.75969610376278,1.4434147074174961,0.41987043192434037,0.6666666666666666,0.8,False,0.6666666666666666,0.8,False,1.0,1.0,True
6,3,0.2592588695137105,0.016050618736252555,16.15257790106158,1.2082418442436782,0.29983761227213573,0.06666666666666667,0.19999999999999996,False,0.06666666666666667,0.19999999999999996,False,0.7333333333333333,0.8285714285714285,False
8,4,0.29378357135461114,0.023184112690141066,12.671762567254492,1.1028370268797902,0.18557677396149067,0.9285714285714286,0.9761904761904762,False,0.9285714285714286,0.9761904761904762,False,0.9285714285714286,0.9761904761904762,False
10,4,0.3559208062232093,0.03735259919040923,9.52867575290632,0.9790325487845205,0.3477650566792333,0.7777777777777778,0.8909090909090909,False,0.5555555555555556,0.7696969696969697,False,0.7777777777777778,0.8787878787878788,False
5,5,0.07862263787457284,0.0004722236314391532,166.4945006425605,2.221399893217514,0.3511396378671738,0.8,0.9,False,0.6,0.7,False,0.8,0.9,False
4,5,0.41519943156375677,0.03258866983989723,12.740606891622845,1.1051901158647413,0.5153678663299052,-0.3333333333333333,-0.3999999999999999,False,-0.3333333333333333,-0.3999999999999999,False,0.6666666666666666,0.8,False
8,4,0.45553282834285436,0.2959125832798919,1.5394168889075077,0.18735624688443342,0.09939740747831177,0.9285714285714286,0.9761904761904762,False,0.8571428571428571,0.9523809523809523,False,0.8571428571428571,0.9523809523809523,False
6,5,0.5442356279383734,0.01284933576688083,42.35515654426168,1.6269062912285,0.18573616419041666,0.8666666666666667,0.9428571428571428,False,0.6,0.7714285714285715,False,1.0,1.0,True
5,4,0.9685523248767289,0.6000065886987459,1.6142361485990449,0.20796706850961907,0.06489324139338863,1.0,1.0,True,0.8,0.9,False,0.8,0.9,False
4,3,0.18224854359274356,0.006011435662223226,30.316974813138913,1.4816858629392922,0.6396901738550697,0.6666666666666666,0.8,False,0.3333333333333333,0.4,False,1.0,1.0,True
